Loan_ID,Borrower_ID,Loan_Amount,Interest_Rate,Loan_Term_Months,Annual_Revenue,EBITDA,Debt_to_Equity,Current_Ratio,Credit_Score,Collateral_Value,Origination_Date,Default,LTV_Ratio,Debt_Service_Coverage,Months_Since_Origination,Delinquency_Days,annual_turnover,monthly_sales,sales_growth_3m,days_past_due,gst_delay_days,cash_flow_3m_trend,cash_flow_6m_trend,industry_risk_score,Loan_Purpose_Expansion,Loan_Purpose_Inventory,Loan_Purpose_Other,Loan_Purpose_Real Estate,Loan_Purpose_Working Capital,Industry_Construction,Industry_Healthcare,Industry_Manufacturing,Industry_Retail,Industry_Services,Industry_Technology,Industry_Transportation
LOAN_000000,BORR_000000,342857,7.53,24,732445,100066,3.62,2.36,571,88004,2021-02-03,0,2.0,5.0,26,17,723255,57224,-0.1006,5,54,0.0696,-0.0968,3.3,1,0,0,0,0,0,0,0,0,0,1,0
LOAN_000001,BORR_000001,132270,5.13,36,2237578,358623,0.68,2.27,609,22276,2022-01-10,0,2.0,5.0,48,15,2338428,181844,0.1079,29,40,-0.0066,-0.0408,1.9,1,0,0,0,0,0,1,0,0,0,0,0
LOAN_000002,BORR_000002,429996,4.79,120,366270,110166,3.53,1.79,678,23078,2024-02-01,0,2.0,5.0,39,4,374767,27185,0.2159,12,5,0.0877,-0.0846,5.1,0,0,0,0,1,0,0,0,0,0,0,1
LOAN_000003,BORR_000003,1598449,5.04,60,2020825,116953,2.65,1.73,637,21173,2021-04-14,0,2.0,3.51,52,11,2040762,177360,-0.164,6,0,0.1928,0.0216,4.9,0,0,0,1,0,0,0,0,0,0,1,0
LOAN_000004,BORR_000004,114550,10.41,36,4245360,109009,0.66,0.8,603,31802,2025-05-10,0,2.0,5.0,59,2,4099327,338416,0.2768,8,63,-0.0181,0.1846,9.6,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000005,BORR_000005,114553,4.57,48,1462275,1263844,1.81,3.18,682,24057,2023-09-18,0,2.0,5.0,26,11,1411971,134876,0.0007,22,4,-0.0181,-0.1107,7.1,0,1,0,0,0,1,0,0,0,0,0,0
LOAN_000006,BORR_000006,1738997,7.71,36,3410780,229395,0.61,1.42,643,67474,2021-06-04,0,2.0,3.86,39,12,3260052,220826,-0.1263,18,25,0.1995,0.1551,8.3,0,0,0,0,1,0,0,0,0,0,0,1
LOAN_000007,BORR_000007,514603,12.29,48,255256,131214,0.51,1.77,652,573334,2025-01-22,1,0.9,5.0,10,47,264602,23319,-0.2042,307,54,-0.0373,0.1208,7.6,1,0,0,0,0,0,0,0,1,0,0,0
LOAN_000008,BORR_000008,80481,7.24,36,2059221,3748798,3.64,0.85,651,22591,2023-09-10,0,2.0,5.0,38,26,2080042,191568,-0.047,12,0,-0.0463,-0.1221,2.8,0,0,1,0,0,0,0,0,0,0,1,0
LOAN_000009,BORR_000009,367265,12.4,36,695648,29103,3.12,3.38,678,20000,2023-04-30,0,2.0,2.08,18,13,710122,65319,0.0077,14,85,0.0751,0.1278,5.7,1,0,0,0,0,0,0,1,0,0,0,0
